Latitude,Longitude,Stop Name,Stop Status
40.689464,-73.922286,GATES AV/BROADWAY,at stop
40.695525,-73.916144,GATES AV/WILSON AV,at stop
40.687313,-73.976925,FULTON ST/LAFAYETTE AV,at stop
40.688491,-73.97989,FULTON ST/HUDSON AV,at stop
40.685283,-73.958695,GATES AV/CLASSON AV,approaching
40.688433,-73.979741,FULTON ST/HUDSON AV,approaching
40.686604,-73.947228,GATES AV/MARCY AV,approaching
40.686503,-73.948103,GATES AV/MARCY AV,approaching
40.700737,-73.910992,GATES AV/WYCKOFF AV,approaching
40.691988,-73.988684,JORALEMON ST/COURT ST,< 1 stop away
40.699725,-73.912012,GATES AV/IRVING AV,< 1 stop away
